month,release,employment_sa
2020-03,2022-01,150840000
2020-04,2022-01,130161000
2020-05,2022-01,132994000
2020-06,2022-01,137840000
2020-07,2022-01,139566000
2020-08,2022-01,141149000
2020-09,2022-01,141865000
2020-10,2022-01,142545000
2020-11,2022-01,142809000
2020-12,2022-01,142503000
2021-01,2022-01,142736000
2021-02,2022-01,143272000
2021-03,2022-01,144057000
2021-04,2022-01,144326000
2021-05,2022-01,144940000
2021-06,2022-01,145902000
2021-07,2022-01,146993000
2021-08,2022-01,147476000
2021-09,2022-01,147855000
2021-10,2022-01,148503000
2021-11,2022-01,148752000
2021-12,2022-01,148951000
2020-01,2022-02,152128000
2020-02,2022-02,152504000
2020-03,2022-02,151006000
2020-04,2022-02,130513000
2020-05,2022-02,133155000
2020-06,2022-02,137660000
2020-07,2022-02,139048000
2020-08,2022-02,140713000
2020-09,2022-02,141632000
2020-10,2022-02,142279000
2020-11,2022-02,142612000
2020-12,2022-02,142497000
2021-01,2022-02,143017000
2021-02,2022-02,143727000
2021-03,2022-02,144431000
2021-04,2022-02,144694000
2021-05,2022-02,145141000
2021-06,2022-02,145698000
2021-07,2022-02,146387000
2021-08,2022-02,146904000
2021-09,2022-02,147328000
2021-10,2022-02,148005000
2021-11,2022-02,148652000
2021-12,2022-02,149162000
2022-01,2022-02,149629000
2020-01,2022-03,152128000
2020-02,2022-03,152504000
2020-03,2022-03,151006000
2020-04,2022-03,130513000
2020-05,2022-03,133155000
2020-06,2022-03,137660000
2020-07,2022-03,139048000
2020-08,2022-03,140713000
2020-09,2022-03,141632000
2020-10,2022-03,142279000
2020-11,2022-03,142612000
2020-12,2022-03,142497000
2021-01,2022-03,143017000
2021-02,2022-03,143727000
2021-03,2022-03,144431000
2021-04,2022-03,144694000
2021-05,2022-03,145141000
2021-06,2022-03,145698000
2021-07,2022-03,146387000
2021-08,2022-03,146904000
2021-09,2022-03,147328000
2021-10,2022-03,148005000
2021-11,2022-03,148652000
2021-12,2022-03,149240000
2022-01,2022-03,149721000
2022-02,2022-03,150399000
2020-01,2022-04,152128000
2020-02,2022-04,152504000
2020-03,2022-04,151006000
2020-04,2022-04,130513000
2020-05,2022-04,133155000
2020-06,2022-04,137660000
2020-07,2022-04,139048000
2020-08,2022-04,140713000
2020-09,2022-04,141632000
2020-10,2022-04,142279000
2020-11,2022-04,142612000
2020-12,2022-04,142497000
2021-01,2022-04,143017000
2021-02,2022-04,143727000
2021-03,2022-04,144431000
2021-04,2022-04,144694000
2021-05,2022-04,145141000
2021-06,2022-04,145698000
2021-07,2022-04,146387000
2021-08,2022-04,146904000
2021-09,2022-04,147328000
2021-10,2022-04,148005000
2021-11,2022-04,148652000
2021-12,2022-04,149240000
2022-01,2022-04,149744000
2022-02,2022-04,150494000
2022-03,2022-04,150925000
2020-01,2022-05,152128000
2020-02,2022-05,152504000
2020-03,2022-05,151006000
2020-04,2022-05,130513000
2020-05,2022-05,133155000
2020-06,2022-05,137660000
2020-07,2022-05,139048000
2020-08,2022-05,140713000
2020-09,2022-05,141632000
2020-10,2022-05,142279000
2020-11,2022-05,142612000
2020-12,2022-05,142497000
2021-01,2022-05,143017000
2021-02,2022-05,143727000
2021-03,2022-05,144431000
2021-04,2022-05,144694000
2021-05,2022-05,145141000
2021-06,2022-05,145698000
2021-07,2022-05,146387000
2021-08,2022-05,146904000
2021-09,2022-05,147328000
2021-10,2022-05,148005000
2021-11,2022-05,148652000
2021-12,2022-05,149240000
2022-01,2022-05,149744000
2022-02,2022-05,150458000
2022-03,2022-05,150886000
2022-04,2022-05,151314000
2020-01,2022-06,152128000
2020-02,2022-06,152504000
2020-03,2022-06,151006000
2020-04,2022-06,130513000
2020-05,2022-06,133155000
2020-06,2022-06,137660000
2020-07,2022-06,139048000
2020-08,2022-06,140713000
2020-09,2022-06,141632000
2020-10,2022-06,142279000
2020-11,2022-06,142612000
2020-12,2022-06,142497000
2021-01,2022-06,143017000
2021-02,2022-06,143727000
2021-03,2022-06,144431000
2021-04,2022-06,144694000
