month,naics2d_code,naics2d_name,employment_nsa,employment_sa
2021-07,99,Unclassified,365871,364340
2021-08,11,"Agriculture, Forestry, Fishing and Hunting",207692,206036
2021-08,21,"Mining, Quarrying, and Oil and Gas Extraction",614595,612535
2021-08,22,Utilities,354001,353303
2021-08,23,Construction,7666603,7627007
2021-08,31-33,Manufacturing,12532092,12487989
2021-08,42,Wholesale Trade,5923627,5903768
2021-08,44-45,Retail Trade,15133802,15080685
2021-08,48-49,Transportation and Warehousing,6420206,6407198
2021-08,51,Information,2958565,2952332
2021-08,52-53,Financial Activities,8923806,8892466
2021-08,54-56,Professional and Business Services,21087448,21057031
2021-08,61-62,Education and Health Services,24140201,24068884
2021-08,71-72,Leisure and Hospitality,15698111,15559823
2021-08,81,Other Services (except Public Administration),5559441,5533693
2021-08,92,Public Administration,22431023,22356712
2021-08,99,Unclassified,367206,364952
2021-09,11,"Agriculture, Forestry, Fishing and Hunting",206120,206013
2021-09,21,"Mining, Quarrying, and Oil and Gas Extraction",613913,613015
2021-09,22,Utilities,354126,353899
2021-09,23,Construction,7656465,7651530
2021-09,31-33,Manufacturing,12526492,12516485
2021-09,42,Wholesale Trade,5921992,5918364
2021-09,44-45,Retail Trade,15071868,15082435
2021-09,48-49,Transportation and Warehousing,6418584,6421640
2021-09,51,Information,2971389,2965927
2021-09,52-53,Financial Activities,8927803,8919477
2021-09,54-56,Professional and Business Services,21166812,21150647
2021-09,61-62,Education and Health Services,24275631,24162059
2021-09,71-72,Leisure and Hospitality,15558333,15587112
2021-09,81,Other Services (except Public Administration),5553076,5551069
2021-09,92,Public Administration,22426896,22392920
2021-09,99,Unclassified,365335,365568
2021-10,11,"Agriculture, Forestry, Fishing and Hunting",206227,206375
2021-10,21,"Mining, Quarrying, and Oil and Gas Extraction",614296,613537
2021-10,22,Utilities,354695,354211
2021-10,23,Construction,7668696,7670433
2021-10,31-33,Manufacturing,12555788,12542999
2021-10,42,Wholesale Trade,5934684,5929478
2021-10,44-45,Retail Trade,15147199,15120389
2021-10,48-49,Transportation and Warehousing,6443241,6438666
2021-10,51,Information,2984641,2975127
2021-10,52-53,Financial Activities,8946894,8937965
2021-10,54-56,Professional and Business Services,21264466,21223046
2021-10,61-62,Education and Health Services,24374415,24237791
2021-10,71-72,Leisure and Hospitality,15594320,15642455
2021-10,81,Other Services (except Public Administration),5569866,5567070
2021-10,92,Public Administration,22453590,22419153
2021-10,99,Unclassified,365464,365950
2021-11,11,"Agriculture, Forestry, Fishing and Hunting",206343,206971
2021-11,21,"Mining, Quarrying, and Oil and Gas Extraction",614117,613949
2021-11,22,Utilities,355025,354963
2021-11,23,Construction,7678564,7692860
2021-11,31-33,Manufacturing,12580390,12571109
2021-11,42,Wholesale Trade,5944195,5940991
2021-11,44-45,Retail Trade,15211904,15153000
2021-11,48-49,Transportation and Warehousing,6470378,6457684
2021-11,51,Information,2993879,2985114
2021-11,52-53,Financial Activities,8961060,8963456
2021-11,54-56,Professional and Business Services,21325544,21305162
2021-11,61-62,Education and Health Services,24429362,24307239
2021-11,71-72,Leisure and Hospitality,15627829,15682958
2021-11,81,Other Services (except Public Administration),5583084,5581063
2021-11,92,Public Administration,22466853,22443343
2021-11,99,Unclassified,365455,365961
2021-12,11,"Agriculture, Forestry, Fishing and Hunting",206200,207534
2021-12,21,"Mining, Quarrying, and Oil and Gas Extraction",613841,614782
2021-12,22,Utilities,354810,355392
2021-12,23,Construction,7680575,7713391
2021-12,31-33,Manufacturing,12580560,12589581
2021-12,42,Wholesale Trade,5942990,5949896
2021-12,44-45,Retail Trade,15229114,15181409
2021-12,48-49,Transportation and Warehousing,6482150,6470649
2021-12,51,Information,2995401,3005925
2021-12,52-53,Financial Activities,8960968,8981391
2021-12,54-56,Professional and Business Services,21345365,21369819
2021-12,61-62,Education and Health Services,24458691,24369768
2021-12,71-72,Leisure and Hospitality,15658817,15734034
2021-12,81,Other Services (except Public Administration),5587389,5595355
2021-12,92,Public Administration,22468659,22465496
2021-12,99,Unclassified,365491,366384
2022-01,11,"Agriculture, Forestry, Fishing and Hunting",206718,208171
2022-01,21,"Mining, Quarrying, and Oil and Gas Extraction",614785,614536
2022-01,22,Utilities,356020,356240
