month,naics2d_code,naics2d_name_x,employment_nsa_revelio,employment_sa_revelio,employment_nsa_bls,employment_sa_bls,naics2d_name_y,employment_nsa_adp,employment_sa_adp
2024-06,00,Total private (ex-ag; ex gov; ADP comparable),134373924.0,134315675.0,135537000.0,134571000.0,Total private (ADP NER),133217000.0,132957000.0
2024-07,00,Total private (ex-ag; ex gov; ADP comparable),134368280.0,134385304.0,135580000.0,134611000.0,Total private (ADP NER),134401000.0,132999000.0
2024-08,00,Total private (ex-ag; ex gov; ADP comparable),134948487.0,134466008.0,135474000.0,134644000.0,Total private (ADP NER),134503000.0,133179000.0
2024-09,00,Total private (ex-ag; ex gov; ADP comparable),134561371.0,134544312.0,135037000.0,134852000.0,Total private (ADP NER),134280000.0,133373000.0
2024-10,00,Total private (ex-ag; ex gov; ADP comparable),134730221.0,134623057.0,135508000.0,134851000.0,Total private (ADP NER),134581000.0,133594000.0
2024-11,00,Total private (ex-ag; ex gov; ADP comparable),134811374.0,134687477.0,135893000.0,135095000.0,Total private (ADP NER),134890000.0,133798000.0
2024-12,00,Total private (ex-ag; ex gov; ADP comparable),134678014.0,134696923.0,136080000.0,135382000.0,Total private (ADP NER),134211000.0,133974000.0
2025-01,00,Total private (ex-ag; ex gov; ADP comparable),134712928.0,134735906.0,133595000.0,135461000.0,Total private (ADP NER),132574000.0,134160000.0
2025-02,00,Total private (ex-ag; ex gov; ADP comparable),134513440.0,134775887.0,134104000.0,135568000.0,Total private (ADP NER),132221000.0,134244000.0
2025-03,00,Total private (ex-ag; ex gov; ADP comparable),134677007.0,134850314.0,134491000.0,135682000.0,Total private (ADP NER),132306000.0,134391000.0
2025-04,00,Total private (ex-ag; ex gov; ADP comparable),134654549.0,134911718.0,135299000.0,135815000.0,Total private (ADP NER),132672000.0,134451000.0
2025-05,00,Total private (ex-ag; ex gov; ADP comparable),134921094.0,134882294.0,136097000.0,135884000.0,Total private (ADP NER),133197000.0,134480000.0
2025-06,00,Total private (ex-ag; ex gov; ADP comparable),134923666.0,134867279.0,136808000.0,135857000.0,Total private (ADP NER),134562000.0,134457000.0
2025-07,00,Total private (ex-ag; ex gov; ADP comparable),134859868.0,134878555.0,136835000.0,135913000.0,Total private (ADP NER),135787000.0,134561000.0
2025-08,00,Total private (ex-ag; ex gov; ADP comparable),135350033.0,134887753.0,136700000.0,135923000.0,Total private (ADP NER),135818000.0,134558000.0
2025-09,00,Total private (ex-ag; ex gov; ADP comparable),134910322.0,134929479.0,136145000.0,136027000.0,Total private (ADP NER),135695000.0,134529000.0
2025-10,00,Total private (ex-ag; ex gov; ADP comparable),135012175.0,134935926.0,136710000.0,136079000.0,Total private (ADP NER),136014000.0,134576000.0
2025-11,00,Total private (ex-ag; ex gov; ADP comparable),135021766.0,134916109.0,136842000.0,136148000.0,Total private (ADP NER),136277000.0,134544000.0
2021-01,NF,Total nonfarm (Revelio published),146790987.0,146675611.0,140975000.0,142913000.0,,,
2021-02,NF,Total nonfarm (Revelio published),146639862.0,147041945.0,142129000.0,143422000.0,,,
2021-03,NF,Total nonfarm (Revelio published),147155873.0,147490469.0,143308000.0,144246000.0,,,
2021-04,NF,Total nonfarm (Revelio published),147490886.0,147921987.0,144403000.0,144611000.0,,,
2021-05,NF,Total nonfarm (Revelio published),148374073.0,148412133.0,145391000.0,145032000.0,,,
2021-06,NF,Total nonfarm (Revelio published),149078882.0,149028016.0,146627000.0,145828000.0,,,
2021-07,NF,Total nonfarm (Revelio published),149380261.0,149483604.0,146619000.0,146759000.0,,,
2021-08,NF,Total nonfarm (Revelio published),150612484.0,149980635.0,147159000.0,147246000.0,,,
2021-09,NF,Total nonfarm (Revelio published),150528742.0,150369248.0,147918000.0,147712000.0,,,
2021-10,NF,Total nonfarm (Revelio published),150987603.0,150750870.0,149606000.0,148569000.0,,,
2021-11,NF,Total nonfarm (Revelio published),151364441.0,151161505.0,150543000.0,149206000.0,,,
2021-12,NF,Total nonfarm (Revelio published),151426608.0,151501415.0,150740000.0,149781000.0,,,
2022-01,NF,Total nonfarm (Revelio published),152009094.0,151926130.0,147932000.0,150006000.0,,,
2022-02,NF,Total nonfarm (Revelio published),151967849.0,152339065.0,149606000.0,150875000.0,,,
2022-03,NF,Total nonfarm (Revelio published),152432190.0,152728899.0,150413000.0,151346000.0,,,
2022-04,NF,Total nonfarm (Revelio published),152689699.0,153081382.0,151434000.0,151651000.0,,,
2022-05,NF,Total nonfarm (Revelio published),153543013.0,153554364.0,152264000.0,151892000.0,,,
2022-06,NF,Total nonfarm (Revelio published),154089543.0,154039554.0,153176000.0,152353000.0,,,
2022-07,NF,Total nonfarm (Revelio published),154290330.0,154390876.0,152813000.0,153049000.0,,,
2022-08,NF,Total nonfarm (Revelio published),155435820.0,154828660.0,153209000.0,153286000.0,,,
2022-09,NF,Total nonfarm (Revelio published),155175425.0,155060780.0,153730000.0,153513000.0,,,
2022-10,NF,Total nonfarm (Revelio published),155542755.0,155343056.0,154936000.0,153913000.0,,,
2022-11,NF,Total nonfarm (Revelio published),155773897.0,155592981.0,155519000.0,154210000.0,,,
2022-12,NF,Total nonfarm (Revelio published),155725581.0,155782788.0,155210000.0,154336000.0,,,
2023-01,NF,Total nonfarm (Revelio published),156069683.0,156019729.0,152689000.0,154780000.0,,,
2023-02,NF,Total nonfarm (Revelio published),155875293.0,156215635.0,153818000.0,155086000.0,,,
2023-03,NF,Total nonfarm (Revelio published),156167832.0,156426506.0,154253000.0,155171000.0,,,
